,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,37,167,0.0008315032780030801,0
1,859,0,19,13,0.0004922624542072413,0
2,298,0,34,47,0.0010773933680426732,0
3,553,0,4,27,0.00018057038087131974,0
4,672,0,149,43,0.005388234123596564,282
5,971,0,2,24,0.0001727321657986762,0
6,27,0,13,22,0.00027411398809298795,0
7,231,0,10,14,0.00042971151933506957,0
8,306,0,2,19,0.00017088005083020432,0
9,706,0,7,14,0.0006932277050544558,0
10,496,0,246,26,0.006861062842606466,243
11,558,0,17,14,0.0006692161021492895,0
12,784,0,42,17,0.0017318048118396597,2
13,239,0,20,11,0.0011257060107493083,0
14,578,0,235,19,0.006867890725709472,280
15,55,0,7,16,0.0002957675401443705,0
16,906,0,41,42,0.0013481596596860309,6
17,175,0,9,52,0.0003616508774313576,0
18,14,0,7,42,0.0002137913337176554,0
19,77,0,23,12,0.0012664488414546313,0
20,31,0,15,29,0.0006504867493567395,0
21,481,0,8,17,0.00048267707389987037,1
22,310,0,14,16,0.00034814740904847764,0
23,311,0,14,17,0.00029554006475693273,0
24,883,0,15,21,0.0005081983040992963,0
25,788,0,44,19,0.0012849939525286355,0
26,45,0,1,24,0.00015111799138223177,0
27,103,0,36,22,0.0010212735574441968,1
28,760,0,2,10,0.00023515416390428227,0
29,1,0,14,36,0.0004159228349099908,0
30,823,0,24,33,0.001434492901070597,1
31,710,0,25,18,0.0007715201086084876,1
32,614,0,104,50,0.002938562747541278,51
33,790,0,40,20,0.0010230097638701848,1
34,408,0,19,21,0.00040614124226499615,0
35,736,0,37,18,0.001220946991461049,1
36,957,0,7,18,0.0003199360350637288,0
37,366,0,34,16,0.0015199634299443556,1
38,918,0,81,10,0.002957443477550501,12
39,267,0,18,18,0.0005293738968705545,0
40,230,0,0,18,0.00015000000000000004,0
41,996,0,0,14,0.00015000000000000004,0
42,635,0,14,36,0.0005070012941904656,0
43,698,0,13,15,0.00044788756924658076,0
44,251,0,26,18,0.0006412778694398602,0
45,783,0,8,18,0.00028556757604873337,0
46,819,0,144,38,0.004087374148611525,14
47,141,0,8,18,0.0004428293248219856,0
48,316,0,0,25,0.00015000000000000004,0
49,587,0,7,18,0.00026389077180149703,0
50,331,0,30,28,0.0016151278185562773,1
51,295,0,42,113,0.001435701382176476,2
52,262,0,38,13,0.001045364639858118,0
53,432,0,0,12,0.00015000000000000004,0
54,862,0,267,40,0.008016836301483286,208
55,582,0,0,35,0.00015000000000000004,0
56,272,0,4,11,0.00040913492545673595,0
57,270,0,19,17,0.0004277191318923415,0
58,987,0,0,83,0.00015000000000000004,0
59,319,0,120,42,0.002807903621489173,11
60,569,0,0,22,0.00015000000000000004,0
61,643,0,29,14,0.0009614960312314084,6
62,142,0,0,17,0.00015000000000000004,0
63,202,0,89,106,0.0027000636845059957,82
64,413,0,1,14,0.00015504099213093777,0
65,196,0,0,19,0.00015000000000000004,0
66,264,0,30,18,0.0006999526760863408,0
67,531,0,19,28,0.0006426646331316925,0
68,252,0,12,13,0.0004022939571165337,0
69,576,0,12,41,0.0003246547545421525,0
70,738,0,8,54,0.0003604331547243734,0
71,299,0,1,9,0.00016312143119256374,0
